연번,구분,도서관명,소재지,매핑_행정구역,매핑상태,비고,면적(제곱미터),region_gu,region_detail,join_key
71,사립,두근두근 작은도서관,"경기도 화성시 만세구 향남읍 발안로 113, 아스날타워 603호",,구기준매핑완료,,113.68,만세구,향남읍,만세구
72,사립,두란노 작은도서관,"경기도 화성시 만세구 남양읍 남양로930번길 32, 화성중앙교회",,구기준매핑완료,,112.94,만세구,남양읍,만세구
73,사립,두산위브 작은도서관,"경기도 화성시 병점구 영통로50번길 27, 반달마을 두산위브아파트",,구기준매핑완료,,52,병점구,,병점구
74,사립,디딤 작은도서관,"경기도 화성시 동탄구 금곡로257번길 38, 디딤교회",,구기준매핑완료,,50,동탄구,,동탄구
75,사립,디딤돌 작은도서관,"경기도 화성시 동탄구 동탄순환대로22길 45(동탄구 청계동,동탄2신도시 호반베르디움 더클래스)",,구기준매핑완료,,279.4,동탄구,청계동,동탄구
76,사립,레이크 펜테리움 작은도서관,"경기도 화성시 동탄구 동탄산척로2길 56, 금강펜테리움2차 아파트",,구기준매핑완료,,57.68,동탄구,,동탄구
77,사립,레이크빌 작은도서관,"경기도 화성시 동탄구 동탄대로9길 20, LH26단지 관리동 내",,구기준매핑완료,,88.53,동탄구,,동탄구
78,사립,로이 작은도서관,"경기도 화성시 효행구 봉담읍 삼천병마로 1340, 부안빌딩 2층 작은목자교회",,구기준매핑완료,,45.4,효행구,봉담읍,효행구
79,사립,롯데캐슬 작은도서관,"경기도 화성시 동탄구 동탄반석로 231, 예당롯데캐슬아파트 생활지원센터",,구기준매핑완료,,101.47,동탄구,,동탄구
80,사립,루나포레 작은도서관,"경기도 화성시 만세구 남양읍 역골동로 152, 루나포레 아파트",,구기준매핑완료,,63,만세구,남양읍,만세구
81,사립,르파비스 작은도서관,"경기도 화성시 동탄구 동탄순환대로20길 115, 르파비스 아파트",,구기준매핑완료,,133.24,동탄구,,동탄구
82,사립,리디아 작은도서관,"경기도 화성시 동탄구 동탄신리천로8길 15, 1층(동탄2LH40단지 아파트)",,구기준매핑완료,,97.34,동탄구,,동탄구
