연번,구분,도서관명,소재지,매핑_행정구역,매핑상태,비고,면적(제곱미터)
87,사립,맑은샘문고 작은도서관,"경기도 화성시 동탄구 10용사로 532, 주다산교회 1층(동탄구 반송동)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,105
88,사립,메타하나두리작은도서관,"경기도 화성시 동탄구 동탄중앙로 200, 동탄메타폴리스 6층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,208
89,사립,목동 베라체 작은도서관,"경기도 화성시 동탄구 목동 동탄순환대로20길 13, 동탄구 목동베라체 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,131.62
90,사립,문해아카데미 무진장 작은도서관,경기도 화성시 동탄구 남여울1길 23,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,91
91,사립,물댄 작은도서관,"경기도 화성시 병점구 안녕동 212번지 상가 3층, 물댄 동산교회",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,98.4
93,사립,미소 작은도서관,"경기도 화성시 동탄구 동탄영천로 108-10, 동탄2 LH2단지 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,172.5
94,사립,바나나 작은도서관,"경기도 화성시 동탄구 동탄원천로 338-10, 동탄 동탄구 능동마을 주공아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,52.53
95,사립,반달 작은도서관,"경기도 화성시 병점구 영통로27번길 35, 신영통현대3단지아파트 관리동",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,112
96,사립,반도 정다운 작은도서관,"경기도 화성시 동탄구 동탄기흥로 479-12, 동탄역 반도유보라 아이비파크6.0 별동학습관 1층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,64
97,사립,반도아이비 작은도서관,"경기도 화성시 동탄구 동탄대로시범길 168, 시범 반도유보라아이비 1차",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,121.54
99,사립,반올림 작은도서관,"경기도 화성시 동탄구 동탄문화센터로 39, 시범다은마을 포스코더샾 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,94
100,사립,별하 작은도서관,"경기도 화성시 병점구 안녕남로 246-21,지하1층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,272.96
101,사립,병점역센트럴 작은도서관,"경기도 화성시 병점구 병점1로 65 (병점구 병점동, 늘벗마을신창1차아파트) ",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,42
102,사립,보물섬 작은도서관,"경기도 화성시 병점구 효행로 1338-44, 신동탄롯데캐슬",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,104.15
109,사립,부영3단지 호수꿈터 작은도서관,"경기도 화성시 동탄구 동탄대로8길 35, 부영3단지 커뮤니티센터 지하2층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,120.75
110,사립,북뜨락 작은도서관,경기도 화성시 동탄구 동탄신리천로5길 90(동탄2LH38단지 아파트),,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,112
117,사립,산고개마을 작은도서관,"경기도 화성시 동탄구 동탄순환대로10길 30-23, LH35단지",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,114.9
118,사립,상동비전 작은도서관,"경기도 화성시 병점구 병점동로 84-9, 병점상동교회",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,247.5
119,사립,상록문고 작은도서관,"경기도 화성시 동탄구 동탄원천로 315-18, 상록예가아파트 내 주민공동시설",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,48.3
120,사립,상상 작은도서관,경기도 화성시 동탄구 동탄순환대로19길 59(힐스테이트 동탄 아파트),,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,115.151
121,사립,새강꿈터 작은도서관,"경기도 화성시 동탄구 동탄중앙로 99, 휴먼시아 5-1단지",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,142
122,사립,새강마을 작은도서관,"경기도 화성시 동탄구 동탄중앙로 99, 휴먼시아5-2단지 관리동",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,171.5
123,사립,새싹 작은도서관,"경기도 화성시 만세구 남야읍 남양시장로55번길 5-1, 2층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,96.94
125,사립,생각마루 작은도서관,"경기도 화성시 효행구 효행로291번길 26(효행구 기안동, 신일해피트리 아파트 관리동 2층)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,198
126,사립,생각정원 작은도서관,"경기도 화성시 동탄구 동탄순환대로10길 88, 반도유보라10차 2단지 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,237
128,사립,서해더블루LUX 작은도서관,"경기도 화성시 동탄구 동탄문화센터로 75 서해더블루LUX, 24층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,110.5
129,사립,서해더블루PAX 작은도서관,"경기도 화성시 동탄구 노작로 203(동탄구 반송동,서해더블루PAX), 24층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,121.5
130,사립,서해백일홍 작은도서관,"경기도 화성시 동탄구 동탄문화센터로 38, 서해그랑블아파트 커뮤니티센터",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,119.51
132,사립,센트럴북카페 작은도서관,경기도 화성시 동탄구 동탄중앙로 189 시범다은마을 월드메르디앙,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,117
133,사립,센트럴써밋 작은도서관,"경기도 화성시 동탄구 동탄신리천로 786, 센트럴써밋아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,98.8
134,사립,소나무 작은도서관,"경기도 화성시 동탄구 동탄나루로 55, 동탄나루마을월드메르디앙 반도유보라 2차 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,89
135,사립,소원 작은도서관,"경기도 화성시 동탄구 동탄대로시범길 53, 시범대원칸타빌아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,122.628
136,사립,솔빛 작은도서관,"경기도 화성시 동탄구 동탄반석로 96.(동탄구 반송동, 솔빛마을경남아너스빌아파트 관리사무동 2층)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,135
137,사립,솔향기책터 작은도서관,"경기도 화성시 동탄구 동탄반석로 70, 솔빛마을 신도브래뉴 관리사무소 ",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,120.8
138,사립,송골우남 작은도서관,경기도 화성시 동탄구 10용사로 286 송골우남퍼스트빌 관리동 1층,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,119
139,사립,숲속 작은도서관,"경기도 화성시 동탄구 동탄순환대로20길 104, 호반베르디움22단지 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,101
140,사립,숲속경남 작은도서관,"경기도 화성시 동탄구 동탄숲속로 103, 경남숲속마을 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,95.77
141,사립,숲속모아 작은도서관,경기도 화성시 동탄구 동탄숲속로 96  모아미래도1단지,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,91.83
142,사립,숲속문고 작은도서관,경기도 화성시 병점구 영통로26번길 24 푸르지오아파트,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,55.44
143,사립,숲향기 작은도서관,"경기도 화성시 동탄구 동탄대로24가길 30, 동탄파크 한양 수자인아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,90
144,사립,쉐마 작은도서관,"경기도 화성시 동탄구 원고매로 168, 동탄지구촌교회",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,70
145,사립,스위첸 작은도서관,경기도 화성시 동탄구 동탄청계로 303-14 (kcc스위첸아파트),,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,344
146,사립,스타힐스 작은도서관,"경기도 화성시 동탄구 동탄순환대로17길 15(동탄구 산척동, 스타힐스 24단지)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,57.7
147,사립,시그너스 작은도서관,"경기도 화성시 동탄구 동탄역로 196, 지하1층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,134.62
148,사립,신나는 작은도서관,"경기도 화성시 만세구 수노을중앙로 257, 세영리첼에듀파크아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,124
149,사립,신일 유토빌 책마을 작은도서관,경기도 화성시 동탄구 동탄반석로 232 예당마을 신일유토빌,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,75.49
150,사립,신창2차 책마을 작은도서관,경기도 화성시 병점구 병점2로 102 신창비바훼밀리2차,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,36
153,사립,아름다운 작은도서관,"경기도 화성시 병점구 효행로 1205-67, 아름다운 교회",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,42
155,사립,아삭 작은도서관,"경기도 화성시 만세구 떡전골로 111 지상2층, 지하1층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,304
156,사립,아이비 작은도서관,경기도 화성시 동탄구 동탄기흥로 393-15(동탄역반도유보라5차),,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,64
157,사립,아이숲 작은도서관,"경기도 화성시 동탄구 동탄순환대로26길 55 반도유보라 아이비파크2차 관리동 2층(동탄구 영천동, 반도유보라2차)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,182
158,사립,"아이원 글, 숲, 작은도서관",경기도 화성시 동탄구 동탄대로 1길 20,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,169.5
160,사립,아이파크 마중물 작은도서관,"경기도 화성시 동탄구 동탄대로 4길 143, 동탄2 아이파크 아파트 ",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,320
161,사립,아하 작은도서관,"경기도 화성시 동탄구 동탄기흥로257번가길 20-16, 1층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,39
162,사립,알바트로스 작은도서관,"경기도 화성시 동탄구 동탄순환대로21길 53,롯데캐슬알바트로스",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,113.4837
163,사립,어울림 작은도서관 ,경기도 화성시 동탄구 동탄대로4길 17,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,172.15
166,사립,엘크루생크림 작은도서관,"경기도 화성시 동탄구 동탄대로1길 96, 엔에이치에프엘크루 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,82
168,사립,영천 작은도서관,"경기도 화성시 동탄구 동탄대로24가길 27, 동탄2 LH1단지 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,92.77
172,사립,우리 작은도서관,"경기도 화성시 동탄구 동탄순환대로 1길 64, 동탄레이크 자이 더 테라스",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,92
173,사립,우리꿈 작은도서관,"경기도 화성시 병점구 효행로 1344-6, 우리꿈교회",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,97.47
174,사립,우림필유타운하우스 작은도서관,경기도 화성시 동탄구 동탄공원로 1길 6-60 우림필유타운하우스,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,98
175,사립,은성 작은도서관,경기도 화성시 효행구 효행로291번길 52(효행구 기안동) 은성교회,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,123
177,사립,이편한세상 작은도서관,"경기도 화성시 병점구 효행로 1337-23, 이편한세상 ",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,57.6
178,사립,자이꿈 작은도서관,"경기도 화성시 동탄구 서동탄로53, 서동탄역 파크자이",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,142.5
180,사립,작은도서관 노작,"경기도 화성시 동탄구 노작로206, 노작 홍사용문학관 내",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,81.55
183,사립,죠이풀 작은도서관,"경기도 화성시 동탄구 동탄순환대로 29길 62, 301호 (동탄구 영천동)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,85.2
184,사립,참누리 크로바 작은도서관,"경기도 화성시 동탄구 동탄지성로 295, 행복마을 참누리 에듀파크 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,263.216
186,사립,책과 콩나무 작은도서관,"경기도 화성시 동탄구 동탄공원로1길 6-57, 동탄시범다은마을 센트럴파크뷰 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,120
187,사립,책누리 작은도서관,"경기도 화성시 동탄구 동탄지성로469번길 60, 반정아이파크캐슬5단지 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,116
188,사립,책마루 작은도서관,"경기도 화성시 동탄구 동탄순환대로 24길 101, LH 4단지 아파트 ",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,98.175
190,사립,큰생각 작은도서관,"경기도 화성시 동탄구 동탄대로시범길276(동탄구 청계동,우남퍼스트빌a)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,230.69
192,사립,포도나무 작은도서관,"경기도 화성시 병점구 효행로 275-1  평생플러스빌아파트 상가동 지상1층, 지하1층",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,239
193,사립,포레나 동탄호수 작은도서관,"경기도 화성시 동탄구 동탄순환대로4길 11, 한화 포레나 동탄호수 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,127.78
194,사립,포스코 반올림 작은도서관,경기도 화성시 동탄구 동탄공원로 21-12 포스코아파트,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,101.368
196,사립,푸른 신일 작은도서관,"경기도 화성시 동탄구 동탄공원로 21-39, 동탄푸른마을신일해피트리 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,62
197,사립,푸른 작은도서관,"경기도 화성시 동탄구 동탄순환대로21길 54(동탄구 청계동, 동탄2신도시 센트럴 푸르지오)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,72
198,사립,푸른꿈 작은도서관,경기도 화성시 동탄구 동탄반석로 264 예당마을 푸르지오 아파트,,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,162
199,사립,푸른책나라 작은도서관,"경기도 화성시 동탄구 동탄공원로 21-40(동탄구 능동, 동탄푸른마을두산위브아파트)",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,70
200,사립,풍경채 작은도서관,경기도 화성시 동탄구 동탄대로4가길 26(제일풍경채 에듀파크 아파트),,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,105
204,사립,하늘빛 작은도서관,"경기도 화성시 동탄구 동탄반석로 277, 동탄 예당마을우미린제일풍경채 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,126
205,사립,하브루타 작은도서관,"경기도 화성시 병점구 병점동로42번길 24, 202호",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,53.9
206,사립,하우스디 작은도서관,"경기도 화성시 동탄구 동탄대로9길 19, 하우스디 더 레이크 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,164.1
207,사립,한신더휴 작은도서관,"경기도 화성시 동탄구 동탄순환대로20길 70, 한신더휴 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,125.3
208,사립,한화꿈에그린 작은도서관,"경기도 화성시 동탄구 동탄시범한빛길 10, 시범한빛마을한화꿈에그린아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,115
209,사립,한화우림 작은도서관,"경기도 화성시 동탄구 동탄반석로 42, 관리동 내(동탄나루마을 한화꿈에그린 우림필유 아파트)  ",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,123
211,사립,해뜰문고 작은도서관,"경기도 화성시 병점구 영통로27번길 53, 신영통 현대타운 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,72
212,사립,해피드림 작은도서관,"경기도 화성시 동탄구 동탄반석로 124, 센타프라자 602호",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,39.38
213,사립,햇살마루 작은도서관,"경기도 화성시 병점구 효행로 229-11, 광도와이드빌 아파트",,수동확인필요,소재지에서 행정구역을 자동으로 찾지 못함,120
